Mess_ID,Cust_ID,date,credit,manufacture,classify,record
1,A001,2017/11/14,3,真美公司,衣服,不想留言
2,A002,2017/11/15,5,留洋公司,褲子,很好
3,A001,2017/10/20,4,真美公司,帽子,顏色不對
4,A004,2017/10/21,5,上等公司,衣服,還好
5,A005,2017/10/22,3,真美公司,鞋子,還好
6,A003,2017/10/23,5,流尚公司,衣服,還好
7,A007,2017/10/24,2,時尚公司,外套,還好
8,A004,2017/10/25,4,真美公司,衣服,還好留言
9,A002,2017/10/26,5,會會公司,上衣,還好
10,A019,2017/10/27,5,流流公司,衣服,真好
11,A012,2017/10/28,4,有志公司,外套,還好
12,A013,2017/10/29,2,美崙公司,衣服,還好
13,A014,2017/10/30,4,真美公司,外套,我的留言
14,A015,2017/10/31,5,求美公司,鞋子,還好
15,A002,2017/11/1,5,真美公司,衣服,還好
16,A003,2017/11/2,4,真美公司,衣服,還好
