Book_ID,title,author,Pub_ID,price,place,remark
1,三國演義,劉貫中,1,500,A-1-1,張友德先生贈
2,紅樓夢,曹雪芹,2,500,A-1-2,張友德先生贈
3,論語,論語,1,100,B-1-2,張友德先生贈
4,墨子,墨子,1,500, B-1-2,張友德先生贈
5,孫子兵法,孫子,3,500, B-1-3,張友德先生贈
6,孟子,孟子,3,500, B-1-4,張友德先生贈
7,逍遙遊,莊子,5,500, B-1-5,張友德先生贈
8,呂氏春秋,呂不書,4,300, B-1-6,張友德先生贈
9,電腦網路與連結技術,粘添壽,4,600,C-1-2,採購
10,Unlix/Linux 作業系統,粘添壽,6,500,C-1-3,採購
11,資訊與網路安全技術,粘添壽,3,500,C-1-4,採購
12,Java 程式設計(一),粘添壽,2,500,C-1-5,採購
13,網際網路原理與運用,粘添壽,1,500,C-1-6,粘添壽先生贈
14,Java 程式設計(二),粘添壽,5,200,C-1-7,粘添壽先生贈
15,資料庫系統概論,粘添壽,2,400,C-1-8,粘添壽先生贈
16,資料庫程式設計,粘添壽,2,200,C-1-9,粘添壽先生贈
17,伺服器系統管理 - centOS,粘添壽,2,500,C-1-10,粘添壽先生贈
18,電子商務安全,粘添壽,2,500,C-1-11,粘添壽先生贈
